experiment,molecule,rotation_precision,condition,baseline_condition,code_distance,baseline_code_distance,runtime_change_pct,code_distance_change_pct,physical_runtime_change_pct,qubit_volume_change_pct,physical_minus_beat_percentage_points
magic_stock,H4,1e-05,4,10000,13,13,2.8154342795092324,0.0,2.8154342795092324,4.7262618712077265,0.0
magic_stock,H4,1e-05,16,10000,13,13,1.8609873182620085,0.0,1.8609873182620085,3.467507195829911,0.0
magic_stock,H4,1e-05,64,10000,13,13,0.3427164764324031,0.0,0.3427164764324031,1.6364459574752077,0.0
magic_stock,H4,1e-02,1,10000,13,13,2.1822279898914054,0.0,2.1822279898914054,2.4612304851055367,0.0
magic_stock,H4,1e-02,4,10000,13,13,1.368075951096226,0.0,1.368075951096226,1.6711290461296047,0.0
magic_stock,H4,1e-02,16,10000,13,13,0.29915989344990734,0.0,0.29915989344990734,0.6149822787331116,0.0
magic_stock,H4,1e-02,64,10000,13,13,0.0,0.0,0.0,0.0843627360006538,0.0
magic_stock,H5,1e-05,1,10000,15,15,3.7625377481221856,0.0,3.7625377481221856,5.517514856993677,0.0
magic_stock,H5,1e-05,4,10000,15,15,2.242717893069335,0.0,2.242717893069335,3.878531298655452,0.0
magic_stock,H5,1e-05,16,10000,15,15,1.343830794174794,0.0,1.343830794174794,2.724940565904088,0.0
magic_stock,H5,1e-05,64,10000,15,15,0.16109949106883903,0.0,0.16109949106883903,1.2030426309864062,0.0
magic_stock,H5,1e-02,1,10000,13,13,1.1973106052242333,0.0,1.1973106052242333,1.378231571243127,0.0
magic_stock,H5,1e-02,4,10000,13,13,0.6447481728454996,0.0,0.6447481728454996,0.8537459432859773,0.0
magic_stock,H5,1e-02,16,10000,13,13,0.08942568835699216,0.0,0.08942568835699216,0.26864600455307475,0.0
magic_stock,H5,1e-02,64,10000,13,13,0.0,0.0,0.0,0.05662071665430979,0.0
magic_stock,H6,1e-05,1,10000,15,15,3.9145464994569945,0.0,3.9145464994569945,5.242683169815088,0.0
magic_stock,H6,1e-05,4,10000,15,15,2.405114186382429,0.0,2.405114186382429,3.6563818854893126,0.0
magic_stock,H6,1e-05,16,10000,15,15,1.3803539548411514,0.0,1.3803539548411514,2.4454123768655522,0.0
magic_stock,H6,1e-05,64,10000,15,15,0.1010862510898658,0.0,0.1010862510898658,1.013485798477265,0.0
magic_stock,H6,1e-02,1,10000,15,15,0.6434318610288203,0.0,0.6434318610288203,0.6681351996500329,0.0
magic_stock,H6,1e-02,4,10000,15,15,0.38715324535416595,0.0,0.38715324535416595,0.4456392562918632,0.0
magic_stock,H6,1e-02,16,10000,15,15,0.06747127210700032,0.0,0.06747127210700032,0.1420312249585276,0.0
magic_stock,H6,1e-02,64,10000,15,15,0.0,0.0,0.0,0.030310175512671123,0.0
reaction_time,H4,1e-05,10,1,15,13,191.95648114936543,15.384615384615374,236.8728628646524,162.22689792186378,44.916381715286974
reaction_time,H4,1e-05,100,1,17,13,2112.7803764722066,30.76923076923077,2793.6358769251933,1790.8447864932036,680.8555004529867
reaction_time,H4,1e-02,10,1,13,13,61.20825080254082,0.0,61.20825080254082,44.32766690355376,0.0
